,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
A,0.0010965333467524497,0.018174280032577903,0.00205800551131425,0.5642523364485982,-29.71887502346928,180,0.9454686604488914,0.0004614221182983418,0.053784013779509296,-0.029180009633760325,-0.04294817398946424,0.0006416030545911447,0.3012260919203294,0.034682737100069035
AAL,0.00012036775262074941,0.042876144229123336,-0.00143879015746175,0.4696261682242991,-77.49003985009809,7,1.3763036432342362,-0.0008041535288835475,3.07894657242446e-05,-0.060404158842772504,-0.09063672471417833,0.0008797232287383165,15.272892481002282,-0.014322222372199291
AAP,0.0005037876655382671,0.021573772271835573,0.00021019402354955,0.5058411214953271,-59.38176792796155,588,0.8968367067632969,-9.865542579036825e-05,0.01783369369263825,-0.02827913166908575,-0.04943381994802785,0.0006147244357615762,0.9238567791050218,-0.009622683196720718
AAPL,0.0015004883724395342,0.021807997496197547,0.0012440673509387,0.5338785046728972,-36.0138593914474,213,1.2148847390487054,0.0006843989859536446,0.06334560308129088,-0.03181887659795315,-0.04980839912140844,0.0007905078699324724,0.3169559748210068,0.060737826350449005
ABBV,0.0009193273038993873,0.01761667235178823,0.0013503480163366498,0.5490654205607477,-34.042336234646065,297,0.7024047356594996,0.0004474923788529187,0.045427403590811155,-0.023017141680475327,-0.0416947047617324,0.000507262932706052,0.33758068909071015,0.016383421913081408
ABC,0.0008032798458354654,0.019781493918015623,0.0010125583544808,0.5338785046728972,-23.78350484002493,177,0.8338913926930593,0.00024311978028750234,0.03458951227969162,-0.0292462143532783,-0.04386126651530191,0.0005799348997511703,0.4871372083554552,0.008220072991443044
ABMD,0.0002140085088586155,0.029267784033542025,0.0014237782069406,0.5268691588785047,-68.46442126807825,5,0.8745888999679526,-0.0003734897910715486,0.003244553455163109,-0.04352365914923498,-0.07104115987161479,0.0006024281927911222,4.002659458741294,-0.017247099033678014
ABT,0.0008345145661990273,0.017724373274213303,0.0012502277280873,0.544392523364486,-31.61332541103288,139,0.8500466487015838,0.00026350233291798136,0.04036627620522533,-0.02599578324863415,-0.0405816181905925,0.0005888638227213336,0.3764504787430192,0.01239445867281052
ACN,0.0010018828053047046,0.018129076308909906,0.00176395859539875,0.5595794392523364,-33.45220282515151,88,1.0502866520196883,0.00029636090521710816,0.04869719621750382,-0.0291836228333207,-0.042911519984100734,0.0006995353938947764,0.3280457615143134,0.0320683985501996
ADI,0.001074214822931991,0.02350600537182,0.00153705477926755,0.5397196261682243,-34.02599184883874,307,1.2679588067854366,0.00022247334371218897,0.04063502874161116,-0.034797617839340406,-0.053584883127503216,0.0008198416212691548,0.5143592107879633,0.02589507815948777
ADM,0.0007858626384495216,0.01775499569550939,0.00149865767309915,0.5420560747663551,-39.839904081349644,485,0.8761030969216281,0.00019734718847769055,0.037556473166059624,-0.026224995453693976,-0.042435762540485616,0.0006032650812906849,0.4011386427143473,0.008938183119869957
ADP,0.0006604165620221186,0.018955324718713397,0.0014152717409143,0.544392523364486,-39.823448444234835,264,1.0645183799239073,-5.4665390736056865e-05,0.028560256867561865,-0.025905430959508324,-0.045614270814227066,0.0007074011932434246,0.5440571237216085,-0.0009901534405696382
ADSK,0.0008687572145014058,0.02547498521264301,0.0017506102729636002,0.5385514018691588,-44.86808572027472,147,1.2980534945620905,-3.200137463135028e-06,0.02942924555974669,-0.03921302918069203,-0.06233302713853827,0.0008364747930881015,0.7470152313576324,0.010916219136931658
AEE,0.000492195532642307,0.017258584519551465,0.0010937009377061501,0.5408878504672897,-29.516481971995635,360,0.7047981776002558,1.8752831563890906e-05,0.021621003343116906,-0.022411729562400423,-0.04052920359383933,0.0005085857751736237,0.6051634357985207,-0.012247016267979915
AEP,0.0004122326399769413,0.01568178844047745,0.0011684632468988501,0.544392523364486,-32.905205816680095,55,0.55670164351921,3.827263528462401e-05,0.01869589186476717,-0.020705435350152724,-0.03790291485456621,0.000426733618559078,0.5965526861377303,-0.017380462897740295
AES,0.000852690686339184,0.02418888452858998,0.00162197101844625,0.5350467289719626,-54.541131205537674,186,1.0708809291898977,0.00013333474053452892,0.030329760201403152,-0.034816073117537774,-0.06000318177435534,0.0007109177399487149,0.6861833301468915,0.009620077933032404
AFL,0.0006609508968555007,0.022421303433919997,0.00154369429618245,0.5549065420560748,-55.58094440345194,474,1.0785263680900434,-6.354081314215989e-05,0.02416912466329076,-0.02902864406402185,-0.051549943037428825,0.000715143332844084,0.7605933361579474,-0.0006586784783263749
AIG,0.0007884466320161625,0.028478614032743325,0.00102684607215595,0.5198598130841121,-67.55916240343969,518,1.3502566479868525,-0.00011857778275830536,0.02350532270281486,-0.0387989551899652,-0.06933321088461215,0.0008653271947760331,1.0286447101080896,0.0054034218656418866
AIZ,0.0008654151885616295,0.019831055200310553,0.0013599303015777,0.544392523364486,-43.57984756414507,232,0.9230830281356697,0.0002453413347270274,0.03763630134529213,-0.025477137407033452,-0.04567331545565333,0.0006292306361994034,0.45443014584872626,0.01299974716166216
AJG,0.0011263848544076345,0.01701256325269266,0.0019183559698445,0.5665887850467289,-37.48626275700977,165,0.8929633875098324,0.0005265436352003816,0.05921137340668399,-0.022623530449318127,-0.04037448989754285,0.00061258367307513,0.25695241488228143,0.03981135616479356
AKAM,0.0008940040597936347,0.019361295343946726,0.0016028149419782499,0.5549065420560748,-22.44270859463565,99,0.7083209008244189,0.00041819499675316285,0.04002606369972577,-0.027300086366622227,-0.04536035210494441,0.0005105327653232791,0.4193043121997265,0.013042332307132396
ALB,0.0013310832425445806,0.030995025498595327,0.0015106347185083499,0.5280373831775701,-52.86600376630235,502,1.302915662584285,0.00045585976697943295,0.0391041983027854,-0.045671335292601825,-0.0724588448708007,0.0008391620871622566,0.7217366840424324,0.0261628107018192
ALGN,0.0010187871432198357,0.03495027149190567,0.00029075342194135,0.5035046728971962,-58.402800892151376,344,1.4925460834960347,1.618090541659345e-05,0.02574342017287598,-0.04370163966506725,-0.07714351593649274,0.0009439697992918096,1.1989957720680933,0.012127072684655675
ALK,0.0003769710726505219,0.0324821860467916,-0.00029645708629485003,0.4929906542056075,-68.47738809293796,3,1.3535792051234408,-0.0005322852440715215,0.007940458601873535,-0.040753899743748975,-0.07351006486553296,0.0008671635542073482,2.7988683666359893,-0.011071017766896906
ALL,0.0005512580561022935,0.0181855937963837,0.0014273686325833499,0.5455607476635514,-41.68192758229969,300,0.8842227601372286,-4.271171456277469e-05,0.023766638686311237,-0.0243233304136336,-0.044264609526401474,0.0006077527754106363,0.5999292310853782,-0.009102818988069018
ALLE,0.0006113041509326805,0.019722557190286018,0.00156332057203785,0.5362149532710281,-43.41252560982972,307,1.0169933102318753,-7.185320542465502e-05,0.02495906221164431,-0.02904262419893037,-0.046603735229220684,0.0006811343432344933,0.6363105199443326,-0.004508626894200883
AMAT,0.002084527335188739,0.03005093756615923,0.00214487495347945,0.5385514018691588,-43.64337692534397,123,1.5649561852661515,0.001033280173987918,0.06540493825904697,-0.044569109027759124,-0.06714891185022677,0.00098399047247866,0.4332199599212426,0.06505757583849817
AMCR,0.0005045781265455083,0.02002450293758847,0.0,0.44042056074766356,-49.10179621178332,365,0.8404843756512326,-6.001072409169751e-05,0.019252937698353588,-0.028732413123632075,-0.045181186274615516,0.0005835788059168211,0.7946850979108476,-0.010306608747257823
AMD,0.0023962131588311244,0.03568936315212636,0.00076734657376005,0.5175233644859814,-36.847632828552015,136,1.4778859614312272,0.0014034547441481604,0.06380516038005661,-0.053270867537011574,-0.07691754744750023,0.0009358672287982943,0.5315598228438417,0.058230236535088756
AME,0.0009863174736905824,0.01925436578665036,0.00116870962452085,0.5420560747663551,-42.85293664276977,161,1.127325979785162,0.00022904500360188375,0.045042764028315495,-0.024928532623410174,-0.044044358632621586,0.0007421146153523699,0.3758735009113645,0.02910131081647703
AMGN,0.0003602920679490061,0.017487318257699072,0.00026227974461375,0.5046728971962616,-25.06578627468129,186,0.7578259012635161,-0.0001487715945919595,0.01379539420203411,-0.0255187752940007,-0.0391189757411276,0.000537893912390547,0.8487733343309062,-0.021944924700018693
AMP,0.0013561711254920672,0.028121853138185184,0.00229330438968505,0.5467289719626168,-53.883821115915644,182,1.6755977188906528,0.00023060137351923614,0.043991535705896395,-0.036148459843337026,-0.06360441423585304,0.0010451414521048961,0.5831407328029576,0.03857853848298835
AMT,0.0007283770093142648,0.018632878179613125,0.0007945354533939999,0.5268691588785047,-30.288049594094733,229,0.8198734590404134,0.00017763338180909547,0.0327018394256092,-0.026977013441342002,-0.04146833410280735,0.0005721872633336916,0.47665445890880276,0.0038387774355765664
AMZN,0.0009248739763637145,0.02116664397273003,0.00103289942600785,0.5245327102803738,-27.09752873211615,209,0.9290306928059854,0.0003008048249870406,0.0380705773836551,-0.030886345783827474,-0.04769866924288768,0.0006325178784235804,0.48441931389376475,0.015285455761611604
ANET,0.0013219066668451766,0.027139194113327443,0.0013774880301801,0.5327102803738317,-52.20064856586211,527,1.1590727548931985,0.0005433085471799511,0.04432184105300535,-0.03771534494106515,-0.06252931232125103,0.0007596608869398448,0.5571768987886729,0.030009377090862148
ANSS,0.0011300443537519225,0.02262272083705857,0.0016341825469776,0.5373831775700935,-30.958331667339202,183,1.2366843130273064,0.0002993112727804303,0.04468944040754712,-0.03328682154551155,-0.05002682658970573,0.0008025563770396699,0.4528915138350722,0.0313642838405004
ANTM,0.0009290814530207525,0.023649602086606023,0.0005732860452991001,0.5186915887850467,-44.96881567439331,427,1.0684709907219556,0.0002113443646620406,0.034251478354973976,-0.03234912482955075,-0.05334115577268022,0.0007095857799394316,0.6019963879768753,0.014187528235749251
AON,0.001045505099879938,0.017990856235850228,0.0011579980101785,0.5420560747663551,-38.72720371676165,287,0.7866750614248824,0.0005170622380948056,0.05149601934932785,-0.024050571157967476,-0.039541272331538486,0.0005538386878059798,0.30958328958529246,0.02594072653602679
AOS,0.0006662179127834109,0.01941504549976718,0.00104959107301335,0.522196261682243,-38.4846893831012,371,0.7804001401732127,0.00014199018060681416,0.028182797395059068,-0.030164476657980076,-0.04323136856872897,0.0005503705726321666,0.5657968429326447,-0.0003404185298078401
APA,0.0013431337994306547,0.05027113708018781,0.00031904796157375,0.5011682242990654,-89.4626479157554,842,1.726740625574843,0.00018320919716010133,0.02434968157633849,-0.0586506270051604,-0.1077929789113428,0.0010734078611306912,1.8815602916152443,0.014907347330790018
APD,0.0006694518538588225,0.01880525019296048,0.0015552627954733,0.552570093457944,-30.967544632596965,251,0.9616034685270825,2.3502193409997876e-05,0.029268647274750998,-0.027016770628100248,-0.04544119108154785,0.0006505206761003625,0.5282492426922416,-0.0001773451187901641
APH,0.0008929278356216247,0.01839318903657055,0.0017603157132476,0.5490654205607477,-37.75389765187121,161,1.075005584716425,0.0001708011845064848,0.042074281683036376,-0.0276401805587351,-0.043890044253990124,0.0007131974148393751,0.378876533398133,0.021521718490783177
APTV,0.0010059266729229698,0.030781498061906082,0.00090519375797045,0.5198598130841121,-65.7163304436852,201,1.4027314457041198,6.365272039516039e-05,0.028812082247969464,-0.03977203854653745,-0.0706487199270675,0.0008943297328011285,0.9419181819505088,0.013857471190946675
ARE,0.0007018110257201455,0.017505714239679997,0.0010303432307484,0.552570093457944,-34.30514892781108,113,0.8750300677014589,0.00011401637479189716,0.03328989601301634,-0.023730712306200677,-0.04136571656184245,0.0006026720238209319,0.4366560510030163,0.0024177621751518634
ATO,0.000337581271496517,0.017122492807630372,0.0009149240671705999,0.5327102803738317,-33.23380591875731,76,0.6662422272525689,-0.00010996176943038345,0.012762957759953729,-0.02296416127776895,-0.04116151803860711,0.0004872761091111185,0.8684716383929454,-0.022235593745419484
ATVI,0.0004449369796898788,0.024199898836950152,0.00114889746049305,0.5245327102803738,-44.822271335700194,382,0.6762348018891147,-9.318495628895423e-06,0.013466558800017311,-0.03569662105726562,-0.056158817446833036,0.0004927989512843558,1.316220342320859,-0.01000473344702237
