,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,0.44379305839538574,-0.8260575532913208,0.5991750359535217,-0.14603473246097565,-0.08706437051296234,0.5969840288162231,-1.2099982500076294,1.210354208946228,-0.5722282528877258,0.39040035009384155,0.6570425629615784,-0.2503925859928131,0.16559374332427979,0.19607828557491302,0.10613010823726654,-0.1877778321504593,-0.7278753519058228,-0.005228277295827866
AAL,1.709430456161499,-0.9479206204414368,2.5264408588409424,0.24385786056518555,-0.6319204568862915,-1.9183545112609863,1.7110118865966797,-0.17732523381710052,-0.5893350839614868,-0.26996129751205444,-0.7658503651618958,-0.712868869304657,1.7103271484375,-0.6556646823883057,0.0174549613147974,-0.2863422632217407,-1.1166609525680542,-0.22753292322158813
AAP,0.5317646265029907,-0.37326839566230774,0.9724947810173035,-0.5759707689285278,-0.10800938308238983,0.5132650136947632,-0.5870276689529419,-0.3945874869823456,-0.1745547354221344,0.5772199034690857,-0.3701207935810089,1.6884225606918335,-0.6408229470252991,-0.3293822109699249,0.4508029818534851,0.0786396935582161,-0.3748883306980133,-0.42651861906051636
AAPL,0.5337238907814026,-0.879951536655426,0.6583839654922485,-0.10345272719860077,0.23579350113868713,0.35193517804145813,-1.1354964971542358,0.392408549785614,-0.32228875160217285,0.5033497214317322,0.11576953530311584,0.3613623380661011,1.1224358081817627,-0.4649038314819336,0.49265530705451965,0.10335041582584381,-0.5173874497413635,0.5140780806541443
ABBV,0.9347242712974548,-1.1809158325195312,1.0089255571365356,0.09623309224843979,-1.175641655921936,1.2297189235687256,-0.28626400232315063,0.017199082300066948,-0.9055621027946472,0.7973255515098572,0.5130671262741089,0.1651628464460373,0.06963382661342621,-0.4848281145095825,0.714871883392334,-0.42439961433410645,-0.6438326835632324,0.02257143333554268
ABC,0.7393252849578857,-0.49774500727653503,0.910980224609375,-0.7920879125595093,-0.09699719399213791,1.0942999124526978,-1.0304932594299316,0.04568655416369438,-0.03836141899228096,0.26460573077201843,0.1270047426223755,0.01659652404487133,-0.18173739314079285,0.6169429421424866,0.2289987951517105,-0.5177220106124878,-0.36686134338378906,-0.49497151374816895
ABMD,-0.10747493803501129,-0.6292237639427185,0.643444299697876,-0.025702644139528275,0.35726603865623474,0.6311200857162476,-0.168742373585701,-0.3575342297554016,0.7829761505126953,-0.032628610730171204,0.34685811400413513,-0.39636874198913574,0.6017354130744934,-0.7570171356201172,0.4588586688041687,-0.6624569296836853,-1.663233757019043,0.3319927752017975
ABT,0.6919234395027161,-0.42113813757896423,0.38184598088264465,-0.6317588686943054,-0.10513091832399368,0.7347120642662048,-0.34958285093307495,0.07060136646032333,-0.18416519463062286,0.2208801805973053,-0.17951636016368866,-0.6908922791481018,0.5588866472244263,0.25593388080596924,0.18987953662872314,0.03319302201271057,-0.5732827186584473,0.22765673696994781
ACN,1.2972437143325806,-0.8118582367897034,0.5115542411804199,0.02259344980120659,0.14362964034080505,0.6472485065460205,-0.6143993139266968,0.5406143665313721,-0.33167731761932373,0.6064528822898865,-0.16699810326099396,-0.05865141749382019,0.15807080268859863,-0.12097015231847763,0.6736658811569214,-0.24606545269489288,-0.0775105282664299,0.05767150968313217
ADI,0.8936477899551392,-0.6316639184951782,0.8025844097137451,-0.4990891218185425,0.5813934803009033,0.0019576866179704666,-0.6738419532775879,0.7567169070243835,-0.611194908618927,0.6232976317405701,-0.35991889238357544,0.28310349583625793,-0.4750604033470154,0.065386101603508,-0.15668705105781555,-0.47154203057289124,-0.21624204516410828,0.0574127733707428
