,short_name,all_params,model,f_name,f_surname,f_full_name,n_clusters
0,tens_TKh_Kmean,"tensor;TKh;rank:18|Kmeans;algorithm:auto,init:random,n_clusters:13",Kmeans,tensor,TKh,tensor_TKh,13.0
1,tens_TKh_Agglo,"tensor;TKh;rank:18|Agglomer;linkage:ward,n_clusters:9",Agglomer,tensor,TKh,tensor_TKh,9.0
2,tens_TKh_MiniB,"tensor;TKh;rank:18|MiniBatchKMeans;init:k-means++,n_clusters:13",MiniBatchKMeans,tensor,TKh,tensor_TKh,13.0
3,tens_TKh_Gauss,"tensor;TKh;rank:18|Gauss_Mix;covariance_type:tied,init_params:kmeans,n_components:12",Gauss_Mix,tensor,TKh,tensor_TKh,12.0
4,tens_TKh_Spect,"tensor;TKh;rank:18|Spectral;eigen_solver:arpack,n_clusters:13",Spectral,tensor,TKh,tensor_TKh,13.0
5,tens_CPh_Kmean,"tensor;CPh;rank:18|Kmeans;algorithm:auto,init:random,n_clusters:13",Kmeans,tensor,CPh,tensor_CPh,13.0
6,tens_CPh_Agglo,"tensor;CPh;rank:18|Agglomer;linkage:ward,n_clusters:9",Agglomer,tensor,CPh,tensor_CPh,9.0
7,tens_CPh_MiniB,"tensor;CPh;rank:18|MiniBatchKMeans;init:k-means++,n_clusters:13",MiniBatchKMeans,tensor,CPh,tensor_CPh,13.0
8,tens_CPh_Gauss,"tensor;CPh;rank:18|Gauss_Mix;covariance_type:tied,init_params:kmeans,n_components:12",Gauss_Mix,tensor,CPh,tensor_CPh,12.0
9,tens_CPh_Spect,"tensor;CPh;rank:18|Spectral;eigen_solver:arpack,n_clusters:13",Spectral,tensor,CPh,tensor_CPh,13.0
10,tens_TKhf_Kmean,"tensor;TKhf;rank:18|Kmeans;algorithm:auto,init:k-means++,n_clusters:12",Kmeans,tensor,TKhf,tensor_TKhf,12.0
11,tens_TKhf_Agglo,"tensor;TKhf;rank:18|Agglomer;linkage:ward,n_clusters:13",Agglomer,tensor,TKhf,tensor_TKhf,13.0
12,tens_TKhf_MiniB,"tensor;TKhf;rank:18|MiniBatchKMeans;init:random,n_clusters:13",MiniBatchKMeans,tensor,TKhf,tensor_TKhf,13.0
13,tens_TKhf_Gauss,"tensor;TKhf;rank:18|Gauss_Mix;covariance_type:full,init_params:kmeans,n_components:13",Gauss_Mix,tensor,TKhf,tensor_TKhf,13.0
14,tens_TKhf_Spect,"tensor;TKhf;rank:18|Spectral;eigen_solver:lobpcg,n_clusters:13",Spectral,tensor,TKhf,tensor_TKhf,13.0
15,tens_CPhf_Kmean,"tensor;CPhf;rank:18|Kmeans;algorithm:auto,init:k-means++,n_clusters:12",Kmeans,tensor,CPhf,tensor_CPhf,12.0
16,tens_CPhf_Agglo,"tensor;CPhf;rank:18|Agglomer;linkage:ward,n_clusters:9",Agglomer,tensor,CPhf,tensor_CPhf,9.0
17,tens_CPhf_MiniB,"tensor;CPhf;rank:18|MiniBatchKMeans;init:k-means++,n_clusters:13",MiniBatchKMeans,tensor,CPhf,tensor_CPhf,13.0
18,tens_CPhf_Gauss,"tensor;CPhf;rank:18|Gauss_Mix;covariance_type:spherical,init_params:random,n_components:10",Gauss_Mix,tensor,CPhf,tensor_CPhf,10.0
19,tens_CPhf_Spect,"tensor;CPhf;rank:18|Spectral;eigen_solver:lobpcg,n_clusters:12",Spectral,tensor,CPhf,tensor_CPhf,12.0
20,tens_TKf_Kmean,"tensor;TKf;rank:18|Kmeans;algorithm:auto,init:k-means++,n_clusters:13",Kmeans,tensor,TKf,tensor_TKf,13.0
21,tens_TKf_Agglo,"tensor;TKf;rank:18|Agglomer;linkage:ward,n_clusters:13",Agglomer,tensor,TKf,tensor_TKf,13.0
22,tens_TKf_MiniB,"tensor;TKf;rank:18|MiniBatchKMeans;init:k-means++,n_clusters:13",MiniBatchKMeans,tensor,TKf,tensor_TKf,13.0
23,tens_TKf_Gauss,"tensor;TKf;rank:18|Gauss_Mix;covariance_type:full,init_params:kmeans,n_components:13",Gauss_Mix,tensor,TKf,tensor_TKf,13.0
24,tens_TKf_Spect,"tensor;TKf;rank:18|Spectral;eigen_solver:arpack,n_clusters:12",Spectral,tensor,TKf,tensor_TKf,12.0
25,tens_CPf_Kmean,"tensor;CPf;rank:18|Kmeans;algorithm:auto,init:random,n_clusters:9",Kmeans,tensor,CPf,tensor_CPf,9.0
