clust_method,mean_return,mean_risk,max_drawndown,max_recovery,mean_ranks_port
tens_CPf_Kmean,0.042228340205984205,0.02172674681044628,-2.4547518528746037,46.0,1.0
tens_CPhf_Kmean,0.04115307179523375,0.022512922618010987,-2.879277162255378,46.0,3.0
tens_TKf_Kmean,0.038485026173736836,0.021927669829183767,-2.9684207963795672,46.0,3.0
tens_TKhf_Gauss,0.039175222724769476,0.02213488384306043,-2.9581986898042367,46.0,3.0
orig__MiniB,0.04397686905106246,0.023019192155436616,-2.795633789604446,46.0,3.3333333333333335
tens_TKh_Kmean,0.038085308592485934,0.022411382144249495,-2.943059241230106,81.0,4.0
tens_CPh_Kmean,0.038085308592485934,0.022411382144249495,-2.943059241230106,81.0,4.0
orig__rando,0.04139141594225504,0.022822613832369196,-3.0461454783258013,47.0,5.0
orig__origi,0.04322285335216014,0.023432737839345397,-3.1812446701877772,46.0,6.0
tens_CPco_Kmean,0.04066509939144747,0.023152022736082106,-3.264208362907417,70.0,6.666666666666667
tens_TKco_Kmean,0.04069799252485584,0.023627454099491258,-3.4904522054923004,46.0,7.333333333333333
tabl__Kmean,0.03631379391800005,0.023978693333765178,-3.473198256633059,112.0,8.666666666666666
